행정구역,생활밀접업종,2021년 1분기,2021년 1분기,2021년 1분기,2022년 1분기,2022년 1분기,2022년 1분기,2023년 1분기,2023년 1분기,2023년 1분기
행정구역,생활밀접업종,전체 점포수,프랜차이즈 점포수,일반 점포수,전체 점포수,프랜차이즈 점포수,일반 점포수,전체 점포수,프랜차이즈 점포수,일반 점포수
행정구역,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2,Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,Unnamed: 10_level_2
하위 메뉴 펼침서울시 전체,외식업/ 패스트푸드점,5836,2703,3133,6338,2742,3596,6110,2670,3440
하위 메뉴 펼침종로구,외식업/ 패스트푸드점,266,99,167,268,100,168,247,98,149
하위 메뉴 펼침중구,외식업/ 패스트푸드점,215,101,114,229,100,129,217,99,118
하위 메뉴 펼침용산구,외식업/ 패스트푸드점,222,83,139,226,90,136,222,89,133
하위 메뉴 펼침성동구,외식업/ 패스트푸드점,177,77,100,201,74,127,191,71,120
하위 메뉴 펼침광진구,외식업/ 패스트푸드점,206,100,106,226,102,124,220,102,118
하위 메뉴 펼침동대문구,외식업/ 패스트푸드점,191,97,94,222,104,118,213,100,113
하위 메뉴 펼침중랑구,외식업/ 패스트푸드점,150,73,77,166,74,92,155,71,84
하위 메뉴 펼침성북구,외식업/ 패스트푸드점,224,99,125,240,102,138,223,100,123
하위 메뉴 펼침강북구,외식업/ 패스트푸드점,140,66,74,158,65,93,149,59,90
하위 메뉴 펼침도봉구,외식업/ 패스트푸드점,119,50,69,116,48,68,109,49,60
하위 메뉴 펼침노원구,외식업/ 패스트푸드점,214,107,107,249,118,131,233,108,125
하위 메뉴 펼침은평구,외식업/ 패스트푸드점,198,88,110,215,93,122,208,89,119
하위 메뉴 펼침서대문구,외식업/ 패스트푸드점,222,114,108,242,115,127,225,110,115
하위 메뉴 펼침마포구,외식업/ 패스트푸드점,355,120,235,396,123,273,375,116,259
하위 메뉴 펼침양천구,외식업/ 패스트푸드점,191,104,87,200,100,100,187,99,88
하위 메뉴 펼침강서구,외식업/ 패스트푸드점,275,150,125,314,153,161,308,151,157
하위 메뉴 펼침구로구,외식업/ 패스트푸드점,180,94,86,199,97,102,197,96,101
하위 메뉴 펼침금천구,외식업/ 패스트푸드점,126,62,64,133,63,70,135,62,73
하위 메뉴 펼침영등포구,외식업/ 패스트푸드점,243,121,122,267,120,147,263,117,146
하위 메뉴 펼침동작구,외식업/ 패스트푸드점,207,110,97,217,109,108,219,104,115
하위 메뉴 펼침관악구,외식업/ 패스트푸드점,241,117,124,256,109,147,254,110,144
하위 메뉴 펼침서초구,외식업/ 패스트푸드점,285,129,156,292,129,163,287,120,167
하위 메뉴 펼침강남구,외식업/ 패스트푸드점,563,231,332,620,237,383,601,234,367
하위 메뉴 펼침송파구,외식업/ 패스트푸드점,396,195,201,437,199,238,427,201,226
하위 메뉴 펼침강동구,외식업/ 패스트푸드점,230,116,114,249,118,131,245,115,130
하위 메뉴 펼침서울시 전체,외식업/ 치킨전문점,6322,3850,2472,6032,3730,2302,5676,3492,2184
하위 메뉴 펼침종로구,외식업/ 치킨전문점,138,92,46,131,85,46,127,80,47
하위 메뉴 펼침중구,외식업/ 치킨전문점,159,103,56,146,94,52,142,92,50
하위 메뉴 펼침용산구,외식업/ 치킨전문점,141,84,57,136,83,53,133,81,52
하위 메뉴 펼침성동구,외식업/ 치킨전문점,193,127,66,184,121,63,181,116,65
하위 메뉴 펼침광진구,외식업/ 치킨전문점,232,148,84,232,145,87,213,134,79
하위 메뉴 펼침동대문구,외식업/ 치킨전문점,263,162,101,250,155,95,229,141,88
하위 메뉴 펼침중랑구,외식업/ 치킨전문점,244,148,96,242,144,98,226,134,92
하위 메뉴 펼침성북구,외식업/ 치킨전문점,253,157,96,240,151,89,224,138,86
하위 메뉴 펼침강북구,외식업/ 치킨전문점,228,116,112,209,111,98,199,105,94
하위 메뉴 펼침도봉구,외식업/ 치킨전문점,220,116,104,203,117,86,192,107,85
하위 메뉴 펼침노원구,외식업/ 치킨전문점,307,186,121,295,177,118,278,163,115
하위 메뉴 펼침은평구,외식업/ 치킨전문점,283,168,115,268,160,108,242,146,96
하위 메뉴 펼침서대문구,외식업/ 치킨전문점,198,124,74,194,127,67,187,119,68
하위 메뉴 펼침마포구,외식업/ 치킨전문점,263,164,99,262,171,91,241,156,85
하위 메뉴 펼침양천구,외식업/ 치킨전문점,243,148,95,232,147,85,220,141,79
하위 메뉴 펼침강서구,외식업/ 치킨전문점,353,215,138,338,212,126,321,204,117
하위 메뉴 펼침구로구,외식업/ 치킨전문점,269,167,102,275,173,102,252,157,95
하위 메뉴 펼침금천구,외식업/ 치킨전문점,178,109,69,176,109,67,168,103,65
하위 메뉴 펼침영등포구,외식업/ 치킨전문점,280,168,112,267,158,109,250,145,105
하위 메뉴 펼침동작구,외식업/ 치킨전문점,250,152,98,231,145,86,220,135,85
하위 메뉴 펼침관악구,외식업/ 치킨전문점,296,166,130,275,167,108,260,159,101
하위 메뉴 펼침서초구,외식업/ 치킨전문점,244,159,85,229,151,78,209,139,70
하위 메뉴 펼침강남구,외식업/ 치킨전문점,373,239,134,349,223,126,338,222,116
하위 메뉴 펼침송파구,외식업/ 치킨전문점,398,257,141,365,238,127,345,221,124
하위 메뉴 펼침강동구,외식업/ 치킨전문점,316,175,141,303,166,137,279,154,125
하위 메뉴 펼침서울시 전체,외식업/ 분식전문점,14174,2713,11461,14173,2582,11591,14951,2436,12515
하위 메뉴 펼침종로구,외식업/ 분식전문점,733,84,649,709,79,630,754,75,679
하위 메뉴 펼침중구,외식업/ 분식전문점,773,103,670,764,99,665,789,91,698
하위 메뉴 펼침용산구,외식업/ 분식전문점,538,74,464,531,65,466,549,61,488
하위 메뉴 펼침성동구,외식업/ 분식전문점,389,70,319,382,66,316,417,64,353
하위 메뉴 펼침광진구,외식업/ 분식전문점,497,102,395,514,97,417,562,92,470
하위 메뉴 펼침동대문구,외식업/ 분식전문점,460,90,370,446,79,367,476,77,399
