분기,시군구명,서비스업종코드,서비스업종,매출등급,개업수,폐업수,개업률,폐업률,1년생존률,3년생존률,5년생존률,최근10년영업기간,최근30년영업기간
1,금천구,CS100009,주점,3.0,6,4,2.6,1.7,62.5,36.8,20.9,2.5년,4년
1,금천구,CS100010,커피,3.0,20,20,4.0,4.0,79.4,46.4,25.2,2.6년,3.2년
1,노원구,CS100001,한식,3.0,35,48,1.7,2.3,77.1,52.1,39.7,2.8년,4.8년
1,노원구,CS100002,중식,3.0,3,3,1.9,1.9,94.4,61.1,30.4,2.7년,4.7년
1,노원구,CS100003,일식,3.0,1,3,0.6,1.7,82.9,44.2,39.5,2.6년,3.8년
1,노원구,CS100004,기타 외국식,3.0,3,1,1.6,0.5,79.4,55.2,40.0,2.7년,3.9년
1,노원구,CS100005,제과제빵,3.0,6,5,2.6,2.1,90.0,57.1,34.1,2.8년,4.9년
1,노원구,CS100006,패스트푸드,3.0,8,12,3.2,4.8,84.1,46.7,34.9,2.7년,4.7년
1,노원구,CS100007,치킨,3.0,12,15,4.1,5.1,73.8,40.6,21.9,2.4년,4.2년
1,노원구,CS100008,분식,3.0,21,22,4.4,4.7,62.9,47.6,29.1,2.5년,3.9년
1,노원구,CS100009,주점,3.0,2,3,0.8,1.2,80.0,39.4,24.1,2.9년,4.4년
1,노원구,CS100010,커피,3.0,35,14,5.7,2.3,86.0,48.7,31.4,2.8년,3.5년
1,도봉구,CS100001,한식,3.0,29,31,1.9,2.1,80.3,55.6,40.4,2.7년,4.7년
1,도봉구,CS100002,중식,3.0,3,4,3.0,4.0,100.0,44.4,41.7,2.8년,4.7년
1,도봉구,CS100003,일식,2.0,3,1,2.9,1.0,75.0,57.1,27.8,2.5년,3.8년
1,도봉구,CS100004,기타 외국식,2.0,1,5,1.0,5.1,81.3,31.3,34.8,2.7년,4년
1,도봉구,CS100005,제과제빵,3.0,4,2,3.4,1.7,77.8,34.8,27.8,2.4년,4.9년
1,도봉구,CS100006,패스트푸드,3.0,1,2,0.9,1.7,75.0,68.4,38.9,2.9년,4.4년
1,도봉구,CS100007,치킨,3.0,5,8,2.5,3.9,75.5,33.3,22.0,2.6년,4.1년
1,도봉구,CS100008,분식,3.0,16,3,5.2,1.0,71.4,51.7,27.7,2.4년,3.8년
1,도봉구,CS100009,주점,3.0,3,2,1.4,1.0,90.9,41.8,19.3,2.7년,4.2년
1,도봉구,CS100010,커피,3.0,22,19,6.3,5.4,88.2,40.0,29.3,2.7년,3.5년
1,동대문구,CS100001,한식,3.0,51,51,2.1,2.1,76.7,56.0,35.0,2.8년,4.7년
1,동대문구,CS100002,중식,3.0,5,4,2.4,1.9,85.2,48.9,13.9,2.6년,4.4년
1,동대문구,CS100003,일식,2.0,8,8,4.6,4.6,82.8,33.3,46.4,2.6년,4.1년
1,동대문구,CS100004,기타 외국식,2.0,2,3,1.0,1.5,94.1,51.2,38.9,2.7년,3.9년
1,동대문구,CS100005,제과제빵,3.0,3,7,1.8,4.2,90.3,31.0,42.3,2.6년,5년
1,동대문구,CS100006,패스트푸드,3.0,9,4,4.1,1.8,80.6,54.5,45.7,2.8년,4.3년
1,동대문구,CS100007,치킨,3.0,5,13,2.0,5.2,63.2,33.9,34.5,2.5년,4.2년
1,동대문구,CS100008,분식,3.0,17,13,3.8,2.9,67.7,38.7,25.9,2.6년,4년
1,동대문구,CS100009,주점,3.0,5,6,1.8,2.1,84.4,21.6,18.4,2.6년,4.6년
1,동대문구,CS100010,커피,3.0,34,22,5.5,3.5,82.1,51.6,27.6,2.7년,3.5년
1,동작구,CS100001,한식,3.0,31,28,1.6,1.5,81.9,56.3,40.0,3년,5.3년
1,동작구,CS100002,중식,3.0,8,6,4.9,3.7,77.3,42.3,40.0,3.1년,4.4년
1,동작구,CS100003,일식,3.0,6,3,2.8,1.4,85.2,54.5,33.3,2.9년,5년
1,동작구,CS100004,기타 외국식,3.0,3,4,2.0,2.6,89.3,68.4,25.6,2.8년,3.8년
1,동작구,CS100005,제과제빵,3.0,5,8,2.6,4.1,87.0,48.8,23.3,3년,4.9년
1,동작구,CS100006,패스트푸드,3.0,9,8,4.1,3.7,87.8,48.9,33.3,2.7년,4.4년
1,동작구,CS100007,치킨,3.0,3,10,1.3,4.3,70.2,41.1,26.9,2.7년,4.4년
1,동작구,CS100008,분식,3.0,9,9,2.3,2.3,63.6,31.3,25.3,2.5년,3.9년
1,동작구,CS100009,주점,3.0,7,8,2.7,3.1,84.0,30.3,34.7,3년,4.6년
1,동작구,CS100010,커피,3.0,24,24,4.0,4.0,77.6,46.4,27.5,2.7년,3.4년
1,마포구,CS100001,한식,3.0,80,116,2.3,3.3,79.3,55.6,31.9,2.7년,4.6년
1,마포구,CS100002,중식,3.0,14,11,4.4,3.5,74.0,54.1,34.7,2.7년,4.4년
1,마포구,CS100003,일식,3.0,18,12,2.8,1.9,87.0,46.9,34.8,2.7년,3.7년
1,마포구,CS100004,기타 외국식,3.0,18,15,1.9,1.6,88.8,60.0,32.5,2.7년,3.6년
1,마포구,CS100005,제과제빵,3.0,14,11,3.5,2.7,80.7,48.6,25.0,2.8년,4.1년
1,마포구,CS100006,패스트푸드,3.0,13,7,3.3,1.8,88.5,45.7,31.3,2.8년,4.1년
1,마포구,CS100007,치킨,3.0,5,11,1.9,4.2,74.5,35.1,28.6,2.7년,4.4년
