분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
2,금천구,일식,83.3,60.9,33.3
2,영등포구,일식,87,42.9,48.9
2,동작구,일식,82.4,60.9,29.8
2,관악구,일식,72.2,56.1,35.8
2,서초구,일식,91.3,59.3,31.4
2,강남구,일식,85.7,64.9,45.2
2,송파구,일식,82.8,52.3,45.7
2,강동구,일식,83.9,54.5,32.1
3,종로구,일식,85.3,54.8,41.7
3,중구,일식,83.7,51.7,30
3,용산구,일식,87.1,69.5,25
3,성동구,일식,94.9,45.3,40.4
3,광진구,일식,72.7,59.3,36.4
3,동대문구,일식,84.2,41.9,25
3,중랑구,일식,82.8,46.2,43.8
3,성북구,일식,74.3,53.8,34
3,강북구,일식,71.4,44.4,35.9
3,도봉구,일식,73.5,55.6,13.3
3,노원구,일식,85.7,41,28.9
3,은평구,일식,81.8,51.2,33.3
3,서대문구,일식,72.2,64.1,36.2
3,마포구,일식,82.5,49.7,35.3
3,양천구,일식,66.7,54.8,36.6
3,강서구,일식,84.4,54.3,43.3
3,구로구,일식,76.9,75,52.9
3,금천구,일식,82.1,70,35.3
3,영등포구,일식,90.5,45.1,48.1
3,동작구,일식,80.6,63.6,29.2
3,관악구,일식,70.6,56.9,37.7
3,서초구,일식,88.6,55.4,44
3,강남구,일식,82.2,65.3,42.7
3,송파구,일식,78.8,54.2,40.7
3,강동구,일식,77.2,59.6,37.7
4,종로구,일식,71.4,53.2,48.4
4,중구,일식,77.3,54.1,25.4
4,용산구,일식,77.4,61.4,27.1
4,성동구,일식,94.3,52.9,50
4,광진구,일식,70.5,58.1,47.6
4,동대문구,일식,81,53.5,33.3
4,중랑구,일식,78.1,38.1,40
4,성북구,일식,78.9,63.3,40.8
4,강북구,일식,73.3,58.3,33.3
4,도봉구,일식,72.4,53.3,30
4,노원구,일식,68.4,50,24.4
4,은평구,일식,82.6,48.6,28.6
4,서대문구,일식,76.2,54.3,35.1
4,마포구,일식,80.9,48.3,34.3
4,양천구,일식,66.7,57.7,40.5
4,강서구,일식,83.2,56.6,48.1
4,구로구,일식,75.9,75,50
4,금천구,일식,83.3,65.4,28.6
4,영등포구,일식,87.9,50.9,45
4,동작구,일식,84.4,53.3,38.8
4,관악구,일식,68.5,56,38.9
4,서초구,일식,79.5,58.3,51.4
4,강남구,일식,79.6,60.4,43.3
4,송파구,일식,80.7,60.4,39.8
4,강동구,일식,67.9,55.8,33.3
1,종로구,기타 외국식,85.5,58.2,34.9
1,중구,기타 외국식,89.7,64.3,38.4
1,용산구,기타 외국식,86.9,62,41.2
1,성동구,기타 외국식,92.6,64.7,32.6
1,광진구,기타 외국식,84.8,56.9,31.8
1,동대문구,기타 외국식,94.1,51.2,38.9
1,중랑구,기타 외국식,100,41.2,44.4
1,성북구,기타 외국식,85.7,56.4,46.7
1,강북구,기타 외국식,70.4,66.7,5.9
1,도봉구,기타 외국식,81.3,31.3,34.8
1,노원구,기타 외국식,79.4,55.2,40
1,은평구,기타 외국식,75.7,63.3,41.7
1,서대문구,기타 외국식,77.8,50.9,27.5
1,마포구,기타 외국식,88.8,60,32.5
1,양천구,기타 외국식,84.6,48.4,30.8
1,강서구,기타 외국식,72.4,44.4,31.3
1,구로구,기타 외국식,81,45.5,37.9
1,금천구,기타 외국식,76,52.9,33.3
1,영등포구,기타 외국식,82.8,53.3,41.7
1,동작구,기타 외국식,89.3,68.4,25.6
1,관악구,기타 외국식,70.4,64.9,25
1,서초구,기타 외국식,80.3,54.9,43.2
1,강남구,기타 외국식,85.4,53.4,30.1
1,송파구,기타 외국식,83.9,63.2,38.8
1,강동구,기타 외국식,74.5,47.4,42.1
2,종로구,기타 외국식,88.9,55.2,36.6
2,중구,기타 외국식,83.6,63.5,37.5
2,용산구,기타 외국식,90.8,63.8,42.8
2,성동구,기타 외국식,90.5,59.3,33.3
2,광진구,기타 외국식,83,65.1,35.7
2,동대문구,기타 외국식,90,56.1,31.6
2,중랑구,기타 외국식,90.3,55,41.7
2,성북구,기타 외국식,83.9,66.7,47.8
2,강북구,기타 외국식,69.7,71.4,12.5
2,도봉구,기타 외국식,95,37.5,23.8
2,노원구,기타 외국식,87.8,52.4,27.3
2,은평구,기타 외국식,81.8,54.5,44.4
2,서대문구,기타 외국식,71.8,57.6,29.8
2,마포구,기타 외국식,88.4,61.2,33.3
2,양천구,기타 외국식,86.4,41.2,23.1
2,강서구,기타 외국식,71.8,33.9,33.3
2,구로구,기타 외국식,85.7,38.1,39.3
2,금천구,기타 외국식,74.1,63.6,28.6
2,영등포구,기타 외국식,86.1,60,41.8
2,동작구,기타 외국식,91.2,62.5,27.8
2,관악구,기타 외국식,71.3,66.7,27.7
2,서초구,기타 외국식,85.4,61,35.6
2,강남구,기타 외국식,85.3,51.6,32.1
2,송파구,기타 외국식,85.3,59,38.4
2,강동구,기타 외국식,74.5,52.5,40
3,종로구,기타 외국식,81.3,58.9,42.2
3,중구,기타 외국식,82.8,66.2,39.2
3,용산구,기타 외국식,88.1,64.7,43.4
3,성동구,기타 외국식,90.2,54.5,32.1
3,광진구,기타 외국식,84.3,54,30.6
3,동대문구,기타 외국식,85,61.5,28.9
3,중랑구,기타 외국식,90.9,55.6,36.4
3,성북구,기타 외국식,77.1,62.2,38.9
3,강북구,기타 외국식,70.3,69.2,25
3,도봉구,기타 외국식,86.7,50,18.2
3,노원구,기타 외국식,85.1,62.5,45.5
3,은평구,기타 외국식,81.4,48.3,35.7
3,서대문구,기타 외국식,84.4,51.9,30.9
3,마포구,기타 외국식,84.7,57,31
3,양천구,기타 외국식,76.2,42.1,31.6
3,강서구,기타 외국식,71.3,46.7,38.7
3,구로구,기타 외국식,79.2,41.4,48.6
3,금천구,기타 외국식,72.4,45.5,27.3
3,영등포구,기타 외국식,84.1,59,45.6
3,동작구,기타 외국식,85.7,59.3,25.7
3,관악구,기타 외국식,70.1,59.6,36
3,서초구,기타 외국식,82.3,59.7,41.1
3,강남구,기타 외국식,79.2,49.4,37.4
3,송파구,기타 외국식,84.9,52.3,44.7
3,강동구,기타 외국식,75,44.2,45.2
4,종로구,기타 외국식,84.4,57.6,38.9
4,중구,기타 외국식,83.3,69.6,42.4
4,용산구,기타 외국식,89.7,65.8,41.1
4,성동구,기타 외국식,90.4,50.7,39
4,광진구,기타 외국식,84.9,58.7,32
4,동대문구,기타 외국식,83.3,63.6,28.9
4,중랑구,기타 외국식,84.6,37.5,36.4
4,성북구,기타 외국식,78,60.8,40
4,강북구,기타 외국식,74.3,76.9,25
4,도봉구,기타 외국식,71.4,73.9,17.6
