분기,시군구명,서비스업종,개업수,폐업수,개업률,폐업률
3,강동구,일식,8,16,3.3,6.6
4,종로구,일식,19,16,6.1,5.1
4,중구,일식,8,9,2.8,3.1
4,용산구,일식,16,9,6,3.4
4,성동구,일식,16,8,8,4
4,광진구,일식,12,11,4.7,4.3
4,동대문구,일식,10,6,5.4,3.2
4,중랑구,일식,6,3,4.1,2.1
4,성북구,일식,9,6,4.8,3.2
4,강북구,일식,3,3,2.4,2.4
4,도봉구,일식,6,3,5.9,2.9
4,노원구,일식,8,11,4.4,6.1
4,은평구,일식,10,6,5.2,3.1
4,서대문구,일식,6,2,3,1
4,마포구,일식,34,25,5,3.7
4,양천구,일식,7,3,3.9,1.7
4,강서구,일식,18,16,4.8,4.3
4,구로구,일식,14,7,7.8,3.9
4,금천구,일식,3,2,2.6,1.7
4,영등포구,일식,18,13,4.9,3.6
4,동작구,일식,8,8,3.7,3.7
4,관악구,일식,8,9,2.8,3.1
4,서초구,일식,15,11,4,2.9
4,강남구,일식,30,43,3.2,4.5
4,송파구,일식,24,27,4.5,5.1
4,강동구,일식,13,10,5.3,4.1
1,종로구,기타 외국식,9,18,1.7,3.4
1,중구,기타 외국식,4,5,0.9,1.2
1,용산구,기타 외국식,21,10,2.6,1.3
1,성동구,기타 외국식,14,9,4.1,2.6
1,광진구,기타 외국식,9,5,3.5,2
1,동대문구,기타 외국식,2,3,1,1.5
1,중랑구,기타 외국식,8,3,6.3,2.4
1,성북구,기타 외국식,9,5,3.6,2
1,강북구,기타 외국식,4,2,3.7,1.9
1,도봉구,기타 외국식,1,5,1,5.1
1,노원구,기타 외국식,3,1,1.6,0.5
1,은평구,기타 외국식,3,7,1.8,4.2
1,서대문구,기타 외국식,5,2,1.9,0.7
1,마포구,기타 외국식,18,15,1.9,1.6
1,양천구,기타 외국식,7,7,4.3,4.3
1,강서구,기타 외국식,15,10,5.3,3.5
1,구로구,기타 외국식,3,3,2.1,2.1
1,금천구,기타 외국식,4,2,3.9,2
1,영등포구,기타 외국식,12,15,3.5,4.4
1,동작구,기타 외국식,3,4,2,2.6
1,관악구,기타 외국식,8,9,2.8,3.2
1,서초구,기타 외국식,15,8,2.7,1.5
1,강남구,기타 외국식,39,37,2.7,2.6
1,송파구,기타 외국식,14,7,2.7,1.3
1,강동구,기타 외국식,6,4,2.8,1.9
2,종로구,기타 외국식,6,9,1.1,1.7
2,중구,기타 외국식,8,11,1.9,2.6
2,용산구,기타 외국식,39,20,4.8,2.5
2,성동구,기타 외국식,20,8,5.6,2.2
2,광진구,기타 외국식,9,9,3.5,3.5
2,동대문구,기타 외국식,11,4,5.3,1.9
2,중랑구,기타 외국식,3,6,2.4,4.8
2,성북구,기타 외국식,4,6,1.6,2.4
2,강북구,기타 외국식,4,0,3.6,0
2,도봉구,기타 외국식,5,1,4.9,1
2,노원구,기타 외국식,6,4,3.1,2.1
2,은평구,기타 외국식,4,2,2.4,1.2
2,서대문구,기타 외국식,7,13,2.7,5
2,마포구,기타 외국식,35,22,3.7,2.3
2,양천구,기타 외국식,6,6,3.7,3.7
2,강서구,기타 외국식,16,7,5.5,2.4
2,구로구,기타 외국식,7,1,4.7,0.7
2,금천구,기타 외국식,5,3,4.8,2.9
2,영등포구,기타 외국식,10,6,2.9,1.7
2,동작구,기타 외국식,5,0,3.2,0
2,관악구,기타 외국식,8,7,2.8,2.5
2,서초구,기타 외국식,15,13,2.7,2.4
2,강남구,기타 외국식,64,33,4.3,2.2
2,송파구,기타 외국식,28,23,5.3,4.4
2,강동구,기타 외국식,6,6,2.8,2.8
3,종로구,기타 외국식,26,11,4.8,2
3,중구,기타 외국식,13,12,3,2.8
3,용산구,기타 외국식,42,30,5.1,3.6
3,성동구,기타 외국식,17,17,4.8,4.8
3,광진구,기타 외국식,11,11,4.3,4.3
3,동대문구,기타 외국식,4,10,2,4.9
3,중랑구,기타 외국식,4,4,3.2,3.2
3,성북구,기타 외국식,7,13,2.9,5.4
3,강북구,기타 외국식,4,7,3.7,6.5
3,도봉구,기타 외국식,3,7,3.1,7.1
3,노원구,기타 외국식,6,7,3.2,3.7
3,은평구,기타 외국식,9,9,5.4,5.4
3,서대문구,기타 외국식,7,8,2.7,3.1
3,마포구,기타 외국식,37,46,3.9,4.9
3,양천구,기타 외국식,4,8,2.5,5.1
3,강서구,기타 외국식,18,15,6.1,5.1
3,구로구,기타 외국식,5,7,3.4,4.7
3,금천구,기타 외국식,9,4,8.3,3.7
3,영등포구,기타 외국식,9,11,2.6,3.2
