분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
3,마포구,기타 외국식,74.5,43.8,29.2
3,양천구,기타 외국식,82.6,39.1,30.4
3,강서구,기타 외국식,77.3,48,40
3,구로구,기타 외국식,84.6,53.8,50
3,금천구,기타 외국식,66.7,44.4,22.2
3,영등포구,기타 외국식,70.1,49.3,43.3
3,동작구,기타 외국식,85.3,35.3,26.5
3,관악구,기타 외국식,77.1,52.1,41.7
3,서초구,기타 외국식,80.8,50.5,41.4
3,강남구,기타 외국식,72.8,47.4,38.8
3,송파구,기타 외국식,76.1,53.3,40.2
3,강동구,기타 외국식,77.1,45.7,40
4,종로구,기타 외국식,72.2,52.2,38.9
4,중구,기타 외국식,71.2,50,40.9
4,용산구,기타 외국식,77.2,51.3,39.9
4,성동구,기타 외국식,79.7,49.2,37.3
4,광진구,기타 외국식,72,46,32
4,동대문구,기타 외국식,73.7,31.6,28.9
4,중랑구,기타 외국식,77.3,45.5,36.4
4,성북구,기타 외국식,78.2,52.7,38.2
4,강북구,기타 외국식,50,25,25
4,도봉구,기타 외국식,76.5,35.3,17.6
4,노원구,기타 외국식,76.7,50,46.7
4,은평구,기타 외국식,69.6,34.8,26.1
4,서대문구,기타 외국식,64.9,35.1,31.6
4,마포구,기타 외국식,74.5,43.8,29.2
4,양천구,기타 외국식,82.6,39.1,30.4
4,강서구,기타 외국식,77.3,48,40
4,구로구,기타 외국식,84.6,53.8,50
4,금천구,기타 외국식,66.7,44.4,22.2
4,영등포구,기타 외국식,70.1,49.3,43.3
4,동작구,기타 외국식,85.3,35.3,26.5
4,관악구,기타 외국식,77.1,52.1,41.7
4,서초구,기타 외국식,80.8,50.5,41.4
4,강남구,기타 외국식,72.8,47.4,38.8
4,송파구,기타 외국식,76.1,53.3,40.2
4,강동구,기타 외국식,77.1,45.7,40
1,종로구,제과제빵,85.4,61,34.1
1,중구,제과제빵,81,50,31
1,용산구,제과제빵,78.4,56.8,40.5
1,성동구,제과제빵,71.4,38.1,21.4
1,광진구,제과제빵,70.4,48.1,22.2
1,동대문구,제과제빵,66.7,41.7,37.5
1,중랑구,제과제빵,52.2,34.8,21.7
1,성북구,제과제빵,69.8,41.9,30.2
1,강북구,제과제빵,90,50,25
1,도봉구,제과제빵,90,50,30
1,노원구,제과제빵,71.1,42.1,34.2
1,은평구,제과제빵,80,47.5,37.5
1,서대문구,제과제빵,75.9,58.6,31
