,분기,시군구명,서비스업종코드,서비스업종,매출등급,매출등급01,개업수,폐업수,개업률,폐업률,1년생존률,3년생존률,5년생존률,1년생존률(신),3년생존률(신),5년생존률(신),최근10년영업기간,최근30년영업기간
94,1,영등포구,CS100004,기타 외국식,3.4213483146067416,2,12,15,3.5,4.4,70.1,49.3,43.3,82.8,53.3,41.7,2.6년,3.8년
95,1,용산구,CS100004,기타 외국식,3.149514563106796,2,21,10,2.6,1.3,77.2,51.3,39.9,86.9,62.0,41.2,2.9년,4년
96,1,은평구,CS100004,기타 외국식,2.378640776699029,0,3,7,1.8,4.2,69.6,34.8,26.1,75.7,63.3,41.7,2.3년,3.4년
97,1,종로구,CS100004,기타 외국식,3.2477064220183487,2,9,18,1.7,3.4,72.2,52.2,38.9,85.5,58.2,34.9,3년,4.5년
98,1,중구,CS100004,기타 외국식,3.2580645161290325,2,4,5,0.9,1.2,71.2,50.0,40.9,89.7,64.3,38.4,3년,4.6년
99,1,중랑구,CS100004,기타 외국식,2.363636363636364,0,8,3,6.3,2.4,77.3,45.5,36.4,100.0,41.2,44.4,2.5년,3.6년
100,1,강남구,CS100005,제과제빵,3.420289855072464,2,14,8,2.7,1.5,73.5,51.0,35.7,82.7,51.1,36.8,2.9년,4.4년
101,1,강동구,CS100005,제과제빵,2.927710843373494,1,8,7,3.1,2.7,82.2,60.0,44.4,81.1,41.5,25.0,2.7년,4.3년
102,1,강북구,CS100005,제과제빵,2.752941176470588,1,4,2,3.5,1.8,90.0,50.0,25.0,83.3,46.2,31.8,2.6년,4.6년
103,1,강서구,CS100005,제과제빵,2.952153110047847,1,6,4,2.0,1.3,72.9,42.4,35.6,86.5,42.9,42.6,2.6년,4.2년
104,1,관악구,CS100005,제과제빵,2.86013986013986,1,6,6,2.8,2.8,77.4,38.7,32.3,87.1,50.0,26.8,2.7년,4.6년
105,1,광진구,CS100005,제과제빵,2.808219178082192,1,7,3,3.1,1.3,70.4,48.1,22.2,82.9,45.3,30.0,2.7년,4.6년
106,1,구로구,CS100005,제과제빵,2.9302325581395348,1,6,3,3.6,1.8,84.6,50.0,46.2,82.1,42.9,40.0,2.7년,4.6년
107,1,금천구,CS100005,제과제빵,2.8205128205128207,1,1,1,1.0,1.0,66.7,50.0,41.7,83.3,46.4,28.6,2.9년,5.1년
108,1,노원구,CS100005,제과제빵,2.8974358974358974,1,6,5,2.6,2.1,71.1,42.1,34.2,90.0,57.1,34.1,2.8년,4.9년
109,1,도봉구,CS100005,제과제빵,2.8292682926829267,1,4,2,3.4,1.7,90.0,50.0,30.0,77.8,34.8,27.8,2.4년,4.9년
110,1,동대문구,CS100005,제과제빵,2.9019607843137254,1,3,7,1.8,4.2,66.7,41.7,37.5,90.3,31.0,42.3,2.6년,5년
111,1,동작구,CS100005,제과제빵,2.949275362318841,1,5,8,2.6,4.1,81.0,52.4,35.7,87.0,48.8,23.3,3년,4.9년
112,1,마포구,CS100005,제과제빵,2.84549356223176,1,14,11,3.5,2.7,67.7,37.5,25.0,80.7,48.6,25.0,2.8년,4.1년
113,1,서대문구,CS100005,제과제빵,2.991304347826087,1,5,4,2.7,2.1,75.9,58.6,31.0,91.3,39.4,21.4,2.9년,4.7년
114,1,서초구,CS100005,제과제빵,3.3175355450236967,2,7,9,1.9,2.4,75.4,56.1,40.4,81.6,64.1,29.8,3년,4.8년
115,1,성동구,CS100005,제과제빵,3.031496062992126,1,5,7,2.5,3.5,71.4,38.1,21.4,94.9,50.0,31.6,2.6년,4.1년
116,1,성북구,CS100005,제과제빵,2.846774193548387,1,4,4,1.9,1.9,69.8,41.9,30.2,85.7,61.1,23.5,2.9년,5.1년
117,1,송파구,CS100005,제과제빵,3.0896860986547083,1,10,11,2.7,2.9,67.4,38.9,26.3,84.4,53.2,28.1,2.6년,4.5년
118,1,양천구,CS100005,제과제빵,2.950617283950617,1,5,7,2.4,3.3,75.0,46.4,32.1,88.9,47.4,32.3,2.8년,4.7년
119,1,영등포구,CS100005,제과제빵,3.1184210526315788,1,10,8,3.9,3.1,78.4,56.9,47.1,81.4,62.5,29.5,3년,4.5년
120,1,용산구,CS100005,제과제빵,3.292452830188679,2,7,4,2.9,1.7,78.4,56.8,40.5,93.3,50.0,26.7,3년,4.7년
